Date,GDP_Growth,Inflation_Rate,Unemployment_Rate,USD_EUR_Exchange_Rate
1987-01-01,4722.156,111.4,6.6,1.1812
1987-02-01,4750.157333333334,111.8,6.6,1.1812
1987-03-01,4778.158666666666,112.2,6.6,1.1812
1987-04-01,4806.16,112.7,6.3,1.1812
1987-05-01,4832.291666666667,113.0,6.3,1.1812
1987-06-01,4858.423333333333,113.5,6.2,1.1812
1987-07-01,4884.555,113.8,6.1,1.1812
1987-08-01,4925.701333333333,114.3,6.0,1.1812
1987-09-01,4966.847666666667,114.7,5.9,1.1812
1987-10-01,5007.994,115.0,6.0,1.1812
1987-11-01,5029.786666666667,115.4,5.8,1.1812
1987-12-01,5051.579333333333,115.6,5.7,1.1812
1988-01-01,5073.372,116.0,5.7,1.1812
1988-02-01,5112.26,116.2,5.7,1.1812
1988-03-01,5151.148,116.5,5.7,1.1812
1988-04-01,5190.036,117.2,5.4,1.1812
1988-05-01,5220.969,117.5,5.6,1.1812
1988-06-01,5251.902,118.0,5.4,1.1812
1988-07-01,5282.835,118.5,5.4,1.1812
1988-08-01,5321.726333333333,119.0,5.6,1.1812
1988-09-01,5360.617666666667,119.5,5.4,1.1812
1988-10-01,5399.509,119.9,5.4,1.1812
1988-11-01,5436.757,120.3,5.3,1.1812
1988-12-01,5474.005,120.7,5.3,1.1812
1989-01-01,5511.253,121.2,5.4,1.1812
1989-02-01,5544.989666666666,121.6,5.2,1.1812
1989-03-01,5578.726333333333,122.2,5.0,1.1812
1989-04-01,5612.463,123.1,5.2,1.1812
1989-05-01,5640.097,123.7,5.2,1.1812
1989-06-01,5667.731,124.1,5.3,1.1812
1989-07-01,5695.365,124.5,5.2,1.1812
1989-08-01,5712.655666666667,124.5,5.2,1.1812
1989-09-01,5729.946333333333,124.8,5.3,1.1812
1989-10-01,5747.237,125.4,5.3,1.1812
1989-11-01,5789.058333333333,125.9,5.4,1.1812
1989-12-01,5830.879666666667,126.3,5.4,1.1812
1990-01-01,5872.701,127.5,5.4,1.1812
1990-02-01,5901.81,128.0,5.3,1.1812
1990-03-01,5930.919,128.6,5.2,1.1812
1990-04-01,5960.028,128.9,5.4,1.1812
1990-05-01,5978.390666666667,129.1,5.4,1.1812
1990-06-01,5996.753333333333,129.9,5.2,1.1812
1990-07-01,6015.116,130.5,5.5,1.1812
1990-08-01,6011.655,131.6,5.7,1.1812
1990-09-01,6008.194,132.5,5.9,1.1812
1990-10-01,6004.733,133.4,5.9,1.1812
1990-11-01,6014.881333333334,133.7,6.2,1.1812
1990-12-01,6025.029666666666,134.2,6.3,1.1812
1991-01-01,6035.178,134.7,6.4,1.1812
1991-02-01,6065.739333333333,134.8,6.6,1.1812
1991-03-01,6096.300666666667,134.8,6.8,1.1812
1991-04-01,6126.862,135.1,6.7,1.1812
1991-05-01,6153.220333333334,135.6,6.9,1.1812
1991-06-01,6179.578666666666,136.0,6.9,1.1812
1991-07-01,6205.937,136.2,6.8,1.1812
1991-08-01,6225.471333333333,136.6,6.9,1.1812
1991-09-01,6245.005666666667,137.0,6.9,1.1812
1991-10-01,6264.54,137.2,7.0,1.1812
1991-11-01,6297.394,137.8,7.0,1.1812
1991-12-01,6330.248,138.2,7.3,1.1812
1992-01-01,6363.102,138.3,7.3,1.1812
1992-02-01,6398.989,138.6,7.4,1.1812
1992-03-01,6434.876,139.1,7.4,1.1812
1992-04-01,6470.763,139.4,7.4,1.1812
1992-05-01,6502.722333333333,139.7,7.6,1.1812
1992-06-01,6534.681666666666,140.1,7.8,1.1812
1992-07-01,6566.641,140.5,7.7,1.1812
1992-08-01,6604.695,140.8,7.6,1.1812
1992-09-01,6642.749,141.1,7.6,1.1812
1992-10-01,6680.803,141.7,7.3,1.1812
1992-11-01,6697.0216666666665,142.1,7.4,1.1812
1992-12-01,6713.240333333333,142.3,7.4,1.1812
1993-01-01,6729.459,142.8,7.3,1.1812
1993-02-01,6755.952333333334,143.1,7.1,1.1812
1993-03-01,6782.4456666666665,143.3,7.0,1.1812
1993-04-01,6808.939,143.8,7.1,1.1812
1993-05-01,6833.325333333333,144.2,7.1,1.1812
1993-06-01,6857.711666666667,144.3,7.0,1.1812
1993-07-01,6882.098,144.5,6.9,1.1812
1993-08-01,6925.978,144.8,6.8,1.1812
1993-09-01,6969.858,145.0,6.7,1.1812
1993-10-01,7013.738,145.6,6.8,1.1812
1993-11-01,7047.709333333333,146.0,6.6,1.1812
1993-12-01,7081.680666666667,146.3,6.5,1.1812
1994-01-01,7115.652,146.3,6.6,1.1812
1994-02-01,7159.411666666667,146.7,6.6,1.1812
1994-03-01,7203.171333333333,147.1,6.5,1.1812
1994-04-01,7246.931,147.2,6.4,1.1812
1994-05-01,7274.978999999999,147.5,6.1,1.1812
1994-06-01,7303.027,147.9,6.1,1.1812
1994-07-01,7331.075,148.4,6.1,1.1812
1994-08-01,7372.479333333333,149.0,6.0,1.1812
1994-09-01,7413.883666666667,149.3,5.9,1.1812
1994-10-01,7455.288,149.4,5.8,1.1812
1994-11-01,7477.621666666666,149.8,5.6,1.1812
1994-12-01,7499.955333333333,150.1,5.5,1.1812
1995-01-01,7522.289,150.5,5.6,1.1812
1995-02-01,7541.858333333334,150.9,5.4,1.1812
1995-03-01,7561.4276666666665,151.2,5.4,1.1812
1995-04-01,7580.997,151.8,5.8,1.1812
1995-05-01,7615.039666666667,152.1,5.6,1.1812
1995-06-01,7649.082333333334,152.4,5.6,1.1812
1995-07-01,7683.125,152.6,5.7,1.1812
1995-08-01,7712.945333333333,152.9,5.7,1.1812
1995-09-01,7742.765666666667,153.1,5.6,1.1812
1995-10-01,7772.586,153.5,5.5,1.1812
1995-11-01,7804.546666666667,153.7,5.6,1.1812
1995-12-01,7836.507333333333,153.9,5.6,1.1812
1996-01-01,7868.468,154.7,5.6,1.1812
1996-02-01,7923.258666666667,155.0,5.5,1.1812
1996-03-01,7978.049333333333,155.5,5.5,1.1812
1996-04-01,8032.84,156.1,5.6,1.1812
1996-05-01,8065.696,156.4,5.6,1.1812
1996-06-01,8098.552000000001,156.7,5.3,1.1812
1996-07-01,8131.408,157.0,5.5,1.1812
1996-08-01,8174.195666666667,157.2,5.1,1.1812
1996-09-01,8216.983333333334,157.7,5.2,1.1812
1996-10-01,8259.771,158.2,5.2,1.1812
1996-11-01,8294.065666666667,158.7,5.4,1.1812
1996-12-01,8328.360333333334,159.1,5.4,1.1812
1997-01-01,8362.655,159.4,5.3,1.1812
1997-02-01,8414.711666666668,159.7,5.2,1.1812
1997-03-01,8466.768333333333,159.8,5.2,1.1812
1997-04-01,8518.825,159.9,5.1,1.1812
1997-05-01,8566.824333333334,159.9,4.9,1.1812
1997-06-01,8614.823666666667,160.2,5.0,1.1812
1997-07-01,8662.823,160.4,4.9,1.1812
1997-08-01,8697.184333333333,160.8,4.8,1.1812
1997-09-01,8731.545666666667,161.2,4.9,1.1812
1997-10-01,8765.907,161.5,4.7,1.1812
1997-11-01,8799.431333333332,161.7,4.6,1.1812
1997-12-01,8832.955666666667,161.8,4.7,1.1812
1998-01-01,8866.48,162.0,4.6,1.1812
1998-02-01,8900.886333333334,162.0,4.6,1.1812
1998-03-01,8935.292666666666,162.0,4.7,1.1812
1998-04-01,8969.699,162.2,4.3,1.1812
1998-05-01,9020.165,162.6,4.4,1.1812
1998-06-01,9070.631,162.8,4.5,1.1812
1998-07-01,9121.097,163.2,4.5,1.1812
1998-08-01,9178.728333333333,163.4,4.5,1.1812
1998-09-01,9236.359666666667,163.5,4.6,1.1812
1998-10-01,9293.991,163.9,4.5,1.1812
1998-11-01,9333.221333333333,164.1,4.4,1.1812
1998-12-01,9372.451666666668,164.4,4.4,1.1812
1999-01-01,9411.682,164.7,4.3,1.1812
1999-01-04,9413.471500000001,164.7,4.304761904761905,1.1812
1999-01-05,9415.261,164.7,4.309523809523809,1.176
1999-01-06,9417.050500000001,164.7,4.314285714285714,1.1636
1999-01-07,9418.84,164.7,4.319047619047619,1.1672
1999-01-08,9420.629500000001,164.7,4.3238095238095235,1.1554
1999-01-11,9422.419,164.7,4.328571428571428,1.1534
1999-01-12,9424.2085,164.7,4.333333333333333,1.1548
1999-01-13,9425.998,164.7,4.338095238095238,1.1698
1999-01-14,9427.7875,164.7,4.3428571428571425,1.1689
1999-01-15,9429.577000000001,164.7,4.347619047619047,1.1591
1999-01-18,9431.3665,164.7,4.352380952380953,1.1591
1999-01-19,9433.156,164.7,4.357142857142858,1.161
1999-01-20,9434.9455,164.7,4.361904761904762,1.1575
1999-01-21,9436.735,164.7,4.366666666666667,1.1577
1999-01-22,9438.5245,164.7,4.371428571428572,1.1582
1999-01-25,9440.314,164.7,4.376190476190477,1.1566
1999-01-26,9442.103500000001,164.7,4.380952380952381,1.1577
1999-01-27,9443.893,164.7,4.385714285714286,1.1481
1999-01-28,9445.6825,164.7,4.390476190476191,1.1395
1999-01-29,9447.472,164.7,4.395238095238096,1.1371
1999-02-01,9449.2615,164.7,4.4,1.1303
1999-02-02,9451.051,164.70499999999998,4.390000000000001,1.1328
1999-02-03,9452.8405,164.70999999999998,4.380000000000001,1.1339
1999-02-04,9454.630000000001,164.715,4.37,1.1306
1999-02-05,9456.4195,164.72,4.36,1.1283
1999-02-08,9458.209,164.725,4.3500000000000005,1.1296
1999-02-09,9459.9985,164.73,4.34,1.13
1999-02-10,9461.788,164.73499999999999,4.33,1.1331
1999-02-11,9463.5775,164.74,4.32,1.1303
1999-02-12,9465.367,164.745,4.3100000000000005,1.1282
1999-02-15,9467.1565,164.75,4.300000000000001,1.1282
1999-02-16,9468.946,164.755,4.29,1.1189
1999-02-17,9470.7355,164.76,4.28,1.123
1999-02-18,9472.525,164.76500000000001,4.2700000000000005,1.1223
1999-02-19,9474.3145,164.77,4.26,1.1075
1999-02-22,9476.104,164.775,4.25,1.1037
1999-02-23,9477.8935,164.78,4.24,1.0993
1999-02-24,9479.682999999999,164.785,4.23,1.0972
1999-02-25,9481.4725,164.79000000000002,4.220000000000001,1.1068
1999-02-26,9483.261999999999,164.79500000000002,4.21,1.0995
1999-03-01,9485.0515,164.8,4.2,1.0891
1999-03-02,9486.841,164.84782608695653,4.2043478260869565,1.0931
1999-03-03,9488.6305,164.89565217391305,4.208695652173914,1.0888
1999-03-04,9490.42,164.94347826086957,4.21304347826087,1.0824
1999-03-05,9492.209499999999,164.9913043478261,4.217391304347826,1.0843
1999-03-08,9493.999,165.0391304347826,4.221739130434782,1.0899
1999-03-09,9495.788499999999,165.08695652173915,4.22608695652174,1.0873
1999-03-10,9497.578,165.13478260869567,4.230434782608696,1.0961
1999-03-11,9499.3675,165.1826086956522,4.234782608695652,1.0932
1999-03-12,9501.157,165.2304347826087,4.239130434782608,1.0936
1999-03-15,9502.9465,165.27826086956523,4.243478260869566,1.093
1999-03-16,9504.735999999999,165.32608695652175,4.247826086956522,1.0915
1999-03-17,9506.5255,165.37391304347827,4.252173913043478,1.1015
1999-03-18,9508.314999999999,165.4217391304348,4.256521739130434,1.099
1999-03-19,9510.1045,165.4695652173913,4.260869565217392,1.0923
1999-03-22,9511.894,165.51739130434783,4.265217391304348,1.0915
1999-03-23,9513.6835,165.56521739130434,4.269565217391304,1.0918
1999-03-24,9515.473,165.61304347826086,4.27391304347826,1.0921
1999-03-25,9517.262499999999,165.6608695652174,4.278260869565218,1.0871
1999-03-26,9519.052,165.70869565217393,4.282608695652174,1.0743
1999-03-29,9520.841499999999,165.75652173913045,4.28695652173913,1.0716
1999-03-30,9522.631,165.80434782608697,4.291304347826086,1.0732
1999-03-31,9524.420499999998,165.8521739130435,4.2956521739130435,1.0808
1999-04-01,9526.21,165.9,4.3,1.0782
1999-04-02,9528.640545454544,165.90454545454546,4.295454545454545,1.0782
1999-04-05,9531.07109090909,165.9090909090909,4.290909090909091,1.0706
1999-04-06,9533.501636363635,165.91363636363636,4.286363636363636,1.0838
1999-04-07,9535.932181818182,165.91818181818184,4.281818181818181,1.0784
1999-04-08,9538.362727272726,165.9227272727273,4.277272727272727,1.0835
1999-04-09,9540.793272727273,165.92727272727274,4.2727272727272725,1.0786
1999-04-12,9543.223818181817,165.9318181818182,4.2681818181818185,1.0842
1999-04-13,9545.654363636362,165.93636363636364,4.263636363636364,1.078
1999-04-14,9548.084909090909,165.9409090909091,4.259090909090909,1.0779
1999-04-15,9550.515454545453,165.94545454545454,4.254545454545455,1.0717
1999-04-16,9552.946,165.95,4.25,1.0688
1999-04-19,9555.376545454545,165.95454545454547,4.245454545454545,1.0608
1999-04-20,9557.807090909091,165.95909090909092,4.240909090909091,1.063
1999-04-21,9560.237636363636,165.96363636363637,4.236363636363636,1.0612
1999-04-22,9562.66818181818,165.96818181818182,4.2318181818181815,1.0598
1999-04-23,9565.098727272727,165.97272727272727,4.2272727272727275,1.0634
1999-04-26,9567.529272727272,165.97727272727272,4.222727272727273,1.059
1999-04-27,9569.959818181818,165.98181818181817,4.218181818181819,1.0649
1999-04-28,9572.390363636363,165.98636363636365,4.213636363636364,1.0616
1999-04-29,9574.820909090908,165.9909090909091,4.209090909090909,1.0591
1999-04-30,9577.251454545454,165.99545454545455,4.204545454545455,1.0564
1999-05-01,9579.681999999999,166.0,4.2,1.0564
1999-05-03,9582.112545454545,166.0,4.204545454545455,1.0571
1999-05-04,9584.54309090909,166.0,4.209090909090909,1.0593
1999-05-05,9586.973636363637,166.0,4.213636363636364,1.0724
1999-05-06,9589.404181818181,166.0,4.218181818181819,1.0779
1999-05-07,9591.834727272726,166.0,4.222727272727273,1.0781
1999-05-10,9594.265272727273,166.0,4.2272727272727275,1.0787
1999-05-11,9596.695818181817,166.0,4.2318181818181815,1.072
1999-05-12,9599.126363636364,166.0,4.236363636363636,1.0666
1999-05-13,9601.556909090908,166.0,4.240909090909091,1.0626
1999-05-14,9603.987454545455,166.0,4.245454545454545,1.065
1999-05-17,9606.418,166.0,4.25,1.0672
1999-05-18,9608.848545454544,166.0,4.254545454545455,1.0672
1999-05-19,9611.27909090909,166.0,4.259090909090909,1.0641
1999-05-20,9613.709636363636,166.0,4.263636363636364,1.063
1999-05-21,9616.140181818182,166.0,4.2681818181818185,1.0577
1999-05-24,9618.570727272727,166.0,4.2727272727272725,1.0593
1999-05-25,9621.001272727273,166.0,4.277272727272727,1.0587
1999-05-26,9623.431818181818,166.0,4.281818181818181,1.0471
1999-05-27,9625.862363636363,166.0,4.286363636363636,1.0439
1999-05-28,9628.29290909091,166.0,4.290909090909091,1.0422
1999-05-31,9630.723454545454,166.0,4.295454545454545,1.0422
1999-06-01,9633.154,166.0,4.3,1.0449
1999-06-02,9635.584545454545,166.03181818181818,4.3,1.0357
1999-06-03,9638.015090909092,166.06363636363636,4.3,1.0355
1999-06-04,9640.445636363636,166.09545454545454,4.3,1.0327
1999-06-07,9642.876181818181,166.12727272727273,4.3,1.0296
1999-06-08,9645.306727272728,166.1590909090909,4.3,1.0438
1999-06-09,9647.737272727272,166.1909090909091,4.3,1.045
1999-06-10,9650.167818181819,166.22272727272727,4.3,1.0477
1999-06-11,9652.598363636364,166.25454545454545,4.3,1.0516
1999-06-14,9655.028909090908,166.28636363636363,4.3,1.0416
1999-06-15,9657.459454545455,166.3181818181818,4.3,1.042
1999-06-16,9659.89,166.35,4.3,1.0298
1999-06-17,9662.320545454546,166.38181818181818,4.3,1.0329
1999-06-18,9664.75109090909,166.41363636363636,4.3,1.0368
1999-06-21,9667.181636363637,166.44545454545454,4.3,1.0323
1999-06-22,9669.612181818182,166.47727272727272,4.3,1.0323
1999-06-23,9672.042727272727,166.5090909090909,4.3,1.0316
1999-06-24,9674.473272727273,166.54090909090908,4.3,1.0372
1999-06-25,9676.903818181818,166.57272727272726,4.3,1.0448
1999-06-28,9679.334363636364,166.60454545454544,4.3,1.0373
1999-06-29,9681.764909090909,166.63636363636363,4.3,1.0337
1999-06-30,9684.195454545456,166.6681818181818,4.3,1.031
1999-07-01,9686.626,166.7,4.3,1.0236
1999-07-02,9689.813208955224,166.71818181818182,4.295454545454545,1.0244
1999-07-05,9693.000417910447,166.73636363636362,4.290909090909091,1.0244
1999-07-06,9696.187626865672,166.75454545454545,4.286363636363636,1.0249
1999-07-07,9699.374835820896,166.77272727272725,4.281818181818181,1.0224
1999-07-08,9702.56204477612,166.79090909090908,4.277272727272727,1.0198
1999-07-09,9705.749253731343,166.8090909090909,4.2727272727272725,1.0186
1999-07-12,9708.936462686568,166.8272727272727,4.2681818181818185,1.0139
1999-07-13,9712.123671641792,166.84545454545454,4.263636363636364,1.0176
1999-07-14,9715.310880597015,166.86363636363635,4.259090909090909,1.0215
1999-07-15,9718.498089552239,166.88181818181818,4.254545454545455,1.022
1999-07-16,9721.685298507462,166.89999999999998,4.25,1.0203
1999-07-19,9724.872507462687,166.9181818181818,4.245454545454545,1.0203
1999-07-20,9728.05971641791,166.93636363636364,4.240909090909091,1.042
1999-07-21,9731.246925373134,166.95454545454544,4.236363636363636,1.0526
1999-07-22,9734.434134328358,166.97272727272727,4.2318181818181815,1.0509
1999-07-23,9737.621343283583,166.99090909090907,4.2272727272727275,1.0497
1999-07-26,9740.808552238806,167.0090909090909,4.222727272727273,1.0651
1999-07-27,9743.99576119403,167.02727272727273,4.218181818181819,1.0627
1999-07-28,9747.182970149253,167.04545454545453,4.213636363636364,1.0644
1999-07-29,9750.370179104477,167.06363636363636,4.209090909090909,1.0719
1999-07-30,9753.557388059702,167.08181818181816,4.204545454545455,1.0694
1999-08-01,9756.744597014926,167.1,4.2,1.0694
1999-08-02,9759.931805970149,167.1304347826087,4.2,1.0661
1999-08-03,9763.119014925373,167.16086956521738,4.2,1.068
1999-08-04,9766.306223880598,167.19130434782608,4.2,1.0766
1999-08-05,9769.493432835821,167.22173913043477,4.2,1.0793
1999-08-06,9772.680641791045,167.25217391304346,4.2,1.077
1999-08-09,9775.867850746268,167.2826086956522,4.2,1.0694
1999-08-10,9779.055059701492,167.31304347826088,4.2,1.0752
1999-08-11,9782.242268656717,167.34347826086957,4.2,1.066
1999-08-12,9785.42947761194,167.37391304347827,4.2,1.0636
1999-08-13,9788.616686567164,167.40434782608696,4.2,1.0568
1999-08-16,9791.803895522387,167.43478260869566,4.2,1.0557
1999-08-17,9794.991104477613,167.46521739130435,4.2,1.0525
1999-08-18,9798.178313432836,167.49565217391304,4.2,1.0505
1999-08-19,9801.36552238806,167.52608695652174,4.2,1.0643
1999-08-20,9804.552731343283,167.55652173913043,4.2,1.0654
1999-08-23,9807.739940298508,167.58695652173913,4.2,1.0553
1999-08-24,9810.927149253732,167.61739130434782,4.2,1.0506
1999-08-25,9814.114358208955,167.64782608695654,4.2,1.0461
1999-08-26,9817.301567164179,167.67826086956524,4.2,1.0441
1999-08-27,9820.488776119402,167.70869565217393,4.2,1.046
1999-08-30,9823.675985074628,167.73913043478262,4.2,1.0445
1999-08-31,9826.863194029851,167.76956521739132,4.2,1.0581
1999-09-01,9830.050402985074,167.8,4.2,1.0582
1999-09-02,9833.237611940298,167.81363636363636,4.195454545454545,1.0689
1999-09-03,9836.424820895523,167.82727272727274,4.190909090909091,1.0605
1999-09-06,9839.612029850747,167.8409090909091,4.1863636363636365,1.0605
1999-09-07,9842.79923880597,167.85454545454547,4.181818181818182,1.0581
1999-09-08,9845.986447761194,167.86818181818182,4.177272727272728,1.059
1999-09-09,9849.173656716417,167.88181818181818,4.172727272727273,1.0543
1999-09-10,9852.360865671642,167.89545454545456,4.168181818181818,1.0402
1999-09-13,9855.548074626866,167.9090909090909,4.163636363636364,1.04
1999-09-14,9858.73528358209,167.9227272727273,4.159090909090909,1.0408
1999-09-15,9861.922492537313,167.93636363636364,4.154545454545454,1.0385
1999-09-16,9865.109701492538,167.95,4.15,1.0418
1999-09-17,9868.296910447762,167.96363636363637,4.1454545454545455,1.0399
1999-09-20,9871.484119402985,167.97727272727272,4.140909090909091,1.0408
1999-09-21,9874.671328358208,167.9909090909091,4.136363636363636,1.046
1999-09-22,9877.858537313432,168.00454545454545,4.131818181818182,1.05
1999-09-23,9881.045746268657,168.01818181818183,4.127272727272727,1.0415
1999-09-24,9884.23295522388,168.03181818181818,4.122727272727272,1.0466
1999-09-27,9887.420164179104,168.04545454545453,4.118181818181818,1.0431
1999-09-28,9890.607373134328,168.0590909090909,4.113636363636363,1.0509
1999-09-29,9893.794582089553,168.07272727272726,4.1090909090909085,1.0613
1999-09-30,9896.981791044776,168.08636363636364,4.1045454545454545,1.0643
1999-10-01,9900.169,168.1,4.1,1.0718
1999-10-04,9901.714606060606,168.1142857142857,4.1,1.0703
1999-10-05,9903.260212121211,168.12857142857143,4.1,1.0693
1999-10-06,9904.805818181818,168.14285714285714,4.1,1.0704
1999-10-07,9906.351424242424,168.15714285714284,4.1,1.0721
1999-10-08,9907.897030303031,168.17142857142858,4.1,1.063
1999-10-11,9909.442636363636,168.18571428571428,4.1,1.063
1999-10-12,9910.988242424242,168.2,4.1,1.0737
1999-10-13,9912.533848484849,168.21428571428572,4.1,1.0758
1999-10-14,9914.079454545454,168.22857142857143,4.1,1.0799
1999-10-15,9915.62506060606,168.24285714285713,4.1,1.0887
1999-10-18,9917.170666666667,168.25714285714287,4.1,1.0863
1999-10-19,9918.716272727273,168.27142857142857,4.1,1.0833
1999-10-20,9920.261878787878,168.28571428571428,4.1,1.0765
1999-10-21,9921.807484848485,168.3,4.1,1.0808
1999-10-22,9923.353090909091,168.31428571428572,4.1,1.0678
1999-10-25,9924.898696969696,168.32857142857142,4.1,1.0666
1999-10-26,9926.444303030303,168.34285714285716,4.1,1.0578
1999-10-27,9927.98990909091,168.35714285714286,4.1,1.0532
1999-10-28,9929.535515151516,168.37142857142857,4.1,1.0519
1999-10-29,9931.08112121212,168.3857142857143,4.1,1.0518
1999-11-01,9932.626727272727,168.4,4.1,1.0494
1999-11-02,9934.172333333334,168.41818181818184,4.095454545454545,1.0506
1999-11-03,9935.717939393939,168.43636363636364,4.090909090909091,1.0485
1999-11-04,9937.263545454545,168.45454545454547,4.086363636363636,1.044
1999-11-05,9938.809151515152,168.47272727272727,4.081818181818181,1.04
1999-11-08,9940.354757575758,168.4909090909091,4.077272727272727,1.0363
1999-11-09,9941.900363636363,168.50909090909093,4.072727272727272,1.0401
1999-11-10,9943.44596969697,168.52727272727273,4.068181818181818,1.0436
1999-11-11,9944.991575757576,168.54545454545456,4.0636363636363635,1.0436
1999-11-12,9946.537181818181,168.56363636363636,4.059090909090909,1.0315
1999-11-15,9948.082787878788,168.5818181818182,4.054545454545455,1.0315
1999-11-16,9949.628393939394,168.60000000000002,4.05,1.0312
1999-11-17,9951.173999999999,168.61818181818182,4.045454545454545,1.0403
1999-11-18,9952.719606060606,168.63636363636365,4.040909090909091,1.0297
1999-11-19,9954.265212121212,168.65454545454546,4.036363636363636,1.0313
1999-11-22,9955.810818181819,168.6727272727273,4.031818181818181,1.0327
1999-11-23,9957.356424242424,168.6909090909091,4.027272727272727,1.0261
1999-11-24,9958.90203030303,168.70909090909092,4.0227272727272725,1.0176
1999-11-25,9960.447636363637,168.72727272727275,4.0181818181818185,1.0176
1999-11-26,9961.993242424242,168.74545454545455,4.013636363636364,1.0137
1999-11-29,9963.538848484848,168.76363636363638,4.009090909090909,1.01
1999-11-30,9965.084454545455,168.78181818181818,4.004545454545455,1.0077
1999-12-01,9966.630060606061,168.8,4.0,1.0059
1999-12-02,9968.175666666666,168.8217391304348,4.0,1.0023
1999-12-03,9969.721272727273,168.84347826086957,4.0,1.0016
1999-12-06,9971.26687878788,168.86521739130436,4.0,1.0252
1999-12-07,9972.812484848484,168.88695652173914,4.0,1.0222
1999-12-08,9974.35809090909,168.90869565217392,4.0,1.0263
1999-12-09,9975.903696969697,168.9304347826087,4.0,1.0161
1999-12-10,9977.449303030304,168.95217391304348,4.0,1.0158
1999-12-13,9978.994909090909,168.97391304347826,4.0,1.012
1999-12-14,9980.540515151515,168.99565217391304,4.0,1.0067
1999-12-15,9982.086121212122,169.01739130434783,4.0,1.0066
1999-12-16,9983.631727272726,169.0391304347826,4.0,1.0169
1999-12-17,9985.177333333333,169.06086956521742,4.0,1.0088
1999-12-20,9986.72293939394,169.0826086956522,4.0,1.0066
1999-12-21,9988.268545454546,169.10434782608698,4.0,1.0093
1999-12-22,9989.814151515151,169.12608695652176,4.0,1.008
1999-12-23,9991.359757575758,169.14782608695654,4.0,1.0162
1999-12-24,9992.905363636364,169.16956521739132,4.0,1.0128
1999-12-27,9994.450969696969,169.1913043478261,4.0,1.0136
1999-12-28,9995.996575757576,169.2130434782609,4.0,1.0068
1999-12-29,9997.542181818182,169.23478260869567,4.0,1.0045
1999-12-30,9999.087787878789,169.25652173913045,4.0,1.0024
1999-12-31,10000.633393939393,169.27826086956523,4.0,1.007
2000-01-01,10002.179,169.3,4.0,1.007
2000-01-03,10005.899318181819,169.3318181818182,4.004545454545455,1.0155
2000-01-04,10009.619636363637,169.36363636363637,4.009090909090909,1.0309
2000-01-05,10013.339954545454,169.39545454545456,4.013636363636364,1.0335
2000-01-06,10017.060272727273,169.42727272727274,4.0181818181818185,1.0324
2000-01-07,10020.780590909091,169.45909090909092,4.0227272727272725,1.0294
2000-01-10,10024.50090909091,169.4909090909091,4.027272727272727,1.0252
2000-01-11,10028.221227272727,169.52272727272728,4.031818181818181,1.0322
2000-01-12,10031.941545454545,169.55454545454546,4.036363636363636,1.0281
2000-01-13,10035.661863636364,169.58636363636364,4.040909090909091,1.027
2000-01-14,10039.382181818182,169.61818181818182,4.045454545454545,1.0128
2000-01-17,10043.1025,169.65,4.05,1.0128
2000-01-18,10046.822818181818,169.6818181818182,4.054545454545455,1.0121
2000-01-19,10050.543136363636,169.71363636363637,4.059090909090909,1.0115
